id,ticker,period,strong_buy,buy,hold,sell,strong_sell,created_at
,AML.L,0m,1,1,7,0,0,2025-05-29 01:53:29.416974
,AML.L,-1m,1,1,7,0,0,2025-05-29 01:53:29.417021
,AML.L,-2m,1,0,7,0,0,2025-05-29 01:53:29.417055
,AML.L,-3m,2,1,7,0,0,2025-05-29 01:53:29.417085
,HWDN.L,0m,2,7,6,0,0,2025-06-24 00:53:12.329105
,HWDN.L,-1m,2,7,6,0,0,2025-06-24 00:53:12.329105
,HWDN.L,-2m,2,7,6,0,0,2025-06-24 00:53:12.329105
,HWDN.L,-3m,2,7,6,0,0,2025-06-24 00:53:12.329105
,JDW.L,0m,1,4,4,1,0,2025-05-29 01:53:29.680965
,JDW.L,-1m,1,4,4,1,0,2025-05-29 01:53:29.681036
,JDW.L,-2m,2,4,4,0,0,2025-05-29 01:53:29.681091
,LLOY.L,0m,3,4,9,0,1,2025-06-23 19:54:31.595883
,LLOY.L,-1m,3,5,9,0,1,2025-06-23 19:54:31.600288
,LLOY.L,-2m,4,4,9,0,1,2025-06-23 19:54:31.602289
,LLOY.L,-3m,4,4,9,0,1,2025-06-23 19:54:31.603288
,CNA.L,0m,5,4,5,0,0,2025-06-23 19:55:24.500148
,CNA.L,-1m,5,4,5,0,0,2025-06-23 19:55:24.504498
,CNA.L,-2m,5,4,5,0,0,2025-06-23 19:55:24.505512
,CNA.L,-3m,5,4,5,0,0,2025-06-23 19:55:24.507399
,GTE.L,0m,0,2,0,0,0,2025-06-23 20:48:42.950875
,GTE.L,-1m,0,1,0,0,0,2025-06-23 20:48:42.958833
,TRT.L,0m,0,0,0,0,0,2025-06-23 20:38:13.143559
,GPE.L,0m,3,6,4,0,1,2025-06-23 20:41:39.352455
,GPE.L,-1m,3,6,4,0,1,2025-06-23 20:41:39.357456
,GPE.L,-2m,3,6,4,0,1,2025-06-23 20:41:39.358455
,GPE.L,-3m,3,7,3,0,2,2025-06-23 20:41:39.360456
,MRK.L,0m,0,3,0,0,0,2025-06-23 21:20:40.894293
,FRP.L,0m,0,4,0,0,0,2025-06-23 21:20:51.281269
,FRP.L,-1m,0,4,0,0,0,2025-06-23 21:20:51.299782
,FRP.L,-2m,0,5,0,0,0,2025-06-23 21:20:51.301882
,FRP.L,-3m,0,5,0,0,0,2025-06-23 21:20:51.303621
,ONDO.L,0m,0,1,0,0,0,2025-06-23 21:21:01.691922
,ONDO.L,-1m,0,1,0,0,0,2025-06-23 21:21:01.696429
,ONDO.L,-2m,0,1,0,0,0,2025-06-23 21:21:01.698427
,DGE.L,0m,2,11,7,1,2,2025-06-24 00:53:12.225621
,DGE.L,-1m,2,11,7,1,2,2025-06-24 00:53:12.225621
,DGE.L,-2m,2,11,7,1,2,2025-06-24 00:53:12.225621
,DGE.L,-3m,2,10,7,1,2,2025-06-24 00:53:12.225621
,LGEN.L,0m,2,5,6,0,1,2025-06-24 00:53:12.432035
,LGEN.L,-1m,3,5,5,0,1,2025-06-24 00:53:12.432035
,LGEN.L,-2m,3,6,5,0,1,2025-06-24 00:53:12.432035
,LGEN.L,-3m,3,6,5,0,1,2025-06-24 00:53:12.432035
,MSLH.L,0m,0,4,3,0,0,2025-06-24 00:53:12.533934
,MSLH.L,-1m,0,4,3,0,0,2025-06-24 00:53:12.533934
,MSLH.L,-2m,0,4,3,0,0,2025-06-24 00:53:12.533934
,MSLH.L,-3m,0,4,3,0,0,2025-06-24 00:53:12.533934
,BLND.L,0m,3,7,7,0,0,2025-06-24 03:53:22.424639
,BLND.L,-1m,3,7,7,0,0,2025-06-24 03:53:22.424639
,BLND.L,-2m,3,7,7,0,0,2025-06-24 03:53:22.424639
,BLND.L,-3m,3,7,7,0,0,2025-06-24 03:53:22.424639
,SSPG.L,0m,1,5,6,0,1,2025-06-24 03:53:22.524313
,SSPG.L,-1m,1,6,6,0,1,2025-06-24 03:53:22.524313
,SSPG.L,-2m,1,7,6,0,1,2025-06-24 03:53:22.524313
,SSPG.L,-3m,1,7,6,0,1,2025-06-24 03:53:22.524313
,WTB.L,0m,1,10,6,0,0,2025-06-24 03:53:22.641372
,WTB.L,-1m,1,11,6,0,0,2025-06-24 03:53:22.641372
,WTB.L,-2m,1,11,6,0,0,2025-06-24 03:53:22.641372
,WTB.L,-3m,1,11,6,0,0,2025-06-24 03:53:22.641372
