id,ticker,headline,url,publisher,published_at,summary,potential_earnings_call,created_at
,AML.L,,"","",,,false,2025-05-28 21:55:22.205029
,BGO.L,,"","",,,false,2025-05-28 21:55:22.512591
,HWDN.L,,"","",,,false,2025-05-28 21:55:22.700461
,JDW.L,,"","",,,false,2025-05-28 21:55:22.93509
,KZG.L,,"","",,,false,2025-05-28 21:55:23.17652
,LLOY.L,"","","",,"",false,2025-06-23 19:54:31.46065
,CNA.L,"","","",,"",false,2025-06-23 19:55:24.402537
,GTE.L,"","","",,"",false,2025-06-23 20:48:42.841997
,TEAM.L,"","","",,"",false,2025-06-23 20:37:58.446849
,TRT.L,"","","",,"",false,2025-06-23 20:38:13.037217
,GPE.L,"","","",,"",false,2025-06-23 20:41:39.216501
,MRK.L,"","","",,"",false,2025-06-23 21:20:40.799897
,FRP.L,"","","",,"",false,2025-06-23 21:20:51.194434
,ONDO.L,"","","",,"",false,2025-06-23 21:21:01.596218
,DGE.L,,"","",,,false,2025-06-24 00:21:30.962741
,LGEN.L,,"","",,,false,2025-06-24 00:21:31.138332
,MSLH.L,,"","",,,false,2025-06-24 00:21:31.391125
,BLND.L,,"","",,,false,2025-06-24 03:53:22.924872
,SSPG.L,,"","",,,false,2025-06-24 03:53:23.37532
,WTB.L,,"","",,,false,2025-06-24 03:53:23.57599
